id,description
1298,aromas of underbrush menthol and a whiff of cellar floor carry over to the palate along with dried cherry and licorice astringent tannins provide support 
1299,this offers appealing notes of cranberry cherry and orange peel along with a kiss of vanilla it s tart and fresh in style with puckering fruit flavors perfect for the dinner table 
1300,aromas of dark berry clove bell pepper and cedar take shape in the glass the tightly wound palate delivers dried black cherry espresso oak and a green note of dried sage alongside astringent tannins while the tannins need time the fruit is already starting to dry up 
1301,barrel tones of coconut and woodspice take the lead in front of cranberry and blackberry with the fruit seeming a bit dried out it s reserved in style but still fully flavored with sour cherries accented by licorice 
1302,briary plum and cherry cough drop aromas give way to a crisp fairly full palate with chewy tannins plum and peppery spice flavors are kept simple while this finishes with some dark berry character and a touch of bitterness 
1303,this wine offers dark coffee green olive savory notes and barrel spices the flavors are lighter in style but with good concentration backed by firm lipsmacking tannins 
1304,bramble wood and savory herbs lend earthiness to this ripe juicy wine fruit forward in style the palate bursts with black currants and cherry flavors soft acidity and a whisper of tannins on the finish keep the mouthfeel plush 
1305,this friendly wine offers fresh jammy berry and cherry aromas the palate has a bit of grit and stickiness to it while blackberry black cherry and boysenberry flavors are ripe sweet not pushy and ultimately satisfying 
1306,jammy soft blueberry aromas are a touch green this is syrupy heavy and sticky on the palate with chocolate prune and peppery flavors tannic and heavy on the finish this is an overweight malbec that s lush to the point of being fat 
1307,floral berry earth and tea aromas are friendly this pinot is fresh and perky in feel with red fruit and tomato like acidity pushing flavors of dry cherry mixed spices herbs and tomato this finishes spunky with crisp acidity and peppery overtones 
1308,a blend of cabernet sauvignon cabernet franc merlot and petit verdot this robust wine opens with aromas of leafy underbrush mature plum toast and roasted coffee bean the palate offers prune dried cherry black pepper graphite and espresso alongside dusty tannins with the heat of alcohol on the midpalate 
1309,neutral on the nose except for a whiff of apple this is a wine to drink now a round pulpy palate is balanced by citric acidity while waxy flavors of baked apple and peach finish briny and round with a hint of green banana 
1310,moderately aromatic this recalls lime leaf and mineral it drinks off dry with tangerine and other citrus flavors 
1311,a blend of 50 cabernet sauvignon 30 merlot 15 cabernet franc and 5 petit verdot this conveys aromas of vanilla oak red currant and cedar the hearty palate displays mature plum dried cherry espresso and bell pepper alongside drying tannins it finishes with the heat of alcohol 
1312,ripe and fruity this is packed with black currant juiciness supported by a strong tannic element vineyards close to the gironde estuary give this property a fine location the smokiness of the wood combines with bright acidity at the end 
1313,firm and dense this is a wine with a good future its blackberry fruits smoky dry tannins and touches of wood aging are joined with acidity to bring out a structured character drink from 2016 
1314,this smoky wine has firm tannins and a tough core the juicy fruit is taking its time develop although it will provide density and ripe berry fruits in time the vineyard created in the early 1980s is now at peak maturity drink from 2017 
1315,ripe and perfumed this is packed with the richness of 2010 along with its structure it has weight juicy black and red berry fruits and a tense structure that still needs time acidity at the end provides a fresh lift to the essentially firm wine 
1316,while the wood aging of this wine still shows it s already balancing out with the ripe black fruits and rich structure an attractive smoky character is followed by juicy berry flavors and acidity this is a wine to age so wait until 2017 
1317,one of bordeaux s more memorable labels orange nymphs supporting a picture of the chateau saransot dupr is one of a number of chateaus in listrac with the dupr suffix this is a solid wine chunky in a typical way for the appellation with plenty of black fruits and balanced tannins drink from 2017 
1318,big in flavor and ripeness this full bodied wine tastes concentrated and feels lush almost soft it smells like boysenberry jam tastes like dried cherries and dried plums and has a streak of raspberry that lifts it a bit 
1319,crushed rocks and smoke mingle with savory dried herb and bramble in this lean dry wine lemon lime acidity reverberates against a core of fresh pear flavor the finish is tight and brisk 
1320,potent black plum and black cherry aromas come with a ton of grainy spicy oak this is both fresh and bright as well as dark brawny and roasted in character flavors of ripe blackberry and cherry share the stage with toasty charred oak and spice flavors in front of an aggressive but tasty finish 
1321,this savory blend of sangiovese merlot alicante and a dollop of petit verdot and colorino delivers core flavors of crushed plum and ripe blackberry accented with notes of white pepper clove and dried herbs it s easy drinking and balanced with fine grained tannins 
1322,this is unusual for a reserve in that it s lower in alcohol than the regular bottling and more cases were produced the light fruits and herbs green apple and lemon verbena in particular are highlighted with tarragon and citrus peel the complexity compensates for the just on the edge ripeness and time in 20 new oak adds a buttery note to the finish 
1323,produced from a selection of small parcels this perfumed wood aged wine is big and concentrated while also keeping style and balance it is dark firm in the center with tannins that are surrounded by juicy acidity and black currant fruits keep for a few more months and drink from 2016 
1324,a jammy ripe wine that s deliciously full of plum jelly flavors the dry dusty tannins are in the background enhancing the structure although still leaving the rich fruit and wood flavors at the front drink this full bodied wine from 2017 
1325,this is a ripe perfumed wine with smooth generous texture and broad black fruits an earthy leathery edge gives extra character and the suggestion of maturity comes from the wood aging and the ripe berry fruits drink now 
1326,this rogue valley pinot is markedly different from more familiar willamette valley styles though not at all fleshy it has pretty sculpted strawberry and raspberry fruit lightly candied and fully ripened a wash of butterscotch wraps around the pleasing finish 
1327,made from the oldest vines on the estate this ripe and fruity wine is ready to drink its tannins are already integrated leaving a smooth textured wine that is accompanied by spice and red plum fruit flavors 
1328,puckering lime zest and lemon notes are softened by crisp yellow peach and nectarine in this dry light bodied riesling racy and brisk it finishes with an elegant crush of minerals drink now 
1329,on the nose this is challenging gaseous oaky aromas of wet cement also contain notes of bitter lettuce baking spices and general grit raw tannic and abrasive on the palate this unfolds to offer herbal flavors of berry and plum tannic scratchy rugged and mildly green on the finish 
1330,muscular leathery aromas of dark berry fruits come with a can t miss animal element this grenache carignan blend features a powerful grip and grabby texture earthy jammy flavors of raspberry and plum end with herbal accents dry spice and the taste of bitter black cherry 
1331,savory meat and vanilla on the nose lead into flavors of cherry pepper and plum in this well made balanced red fresh but fruity the wine has a wave of warming spice and a clean finish that will pair well with grilled meats salmon and cheeses 
1332,this is a light tasting dry wine with white pepper and fennel aromas crisp green apple and lemon flavors and a savory earthy nuance that adds complexity medium bodied and mouth filling this interesting wine steps outside the flavor box 
1333,this blend of half merlot half cabernet sauvignon is rustically earthy and soft betraying the plush plummy merlot tight on the finish and medium in weight it has a black peppery finish that appeals and suggests pairing with well seasoned meats 
1334,while this wine has an attractive honey character it is only lightly sweet it s more about acidity balanced with richness and a wonderful orange zest character that gives a lift as well as bright aftertaste the wine needs until 2016 to get its full act together 
1335,this has a very deep red color spicy aromas like cedar vanilla and cocoa and rich chocolaty berrylike flavors while quite full bodied it s as smooth as velvet due to moderate tannins and soft acidity 
1336,the color is not too deep or too light showing a red brick rim aromas resemble red cherry and cranberry while fresh tart and tangy flavors like cranberry and raspberry combine with firm tannins for a bit of grip in the texture lean and medium bodied it will make a versatile foil for food 
1337,this intriguing wine reflects the typical wild and earthy characteristics of the grape variety it has smoky earthy raspberry aromas plum and pomegranate flavors a touch of tartness a smooth texture and medium body it tastes mature and mellow 
1338,here s a savory easygoing blend of cabernet sauvignon merlot cabernet franc and syrah that opens with aromas of red berry and cooking spice the fresh palate offers black cherries crushed strawberries white pepper and a hint of clove alongside bright acidity and fine grained tannins drink now 
1339,a blend of 80 nebbiolo and 20 cabernet sauvignon aged in barriques this opens with aromas of bell pepper cedar and red currant the palate delivers dried black cherries coffee mocha and grilled herbs alongside firm fine grained tannins 
1340,from one of the great names of port this lbv is a richly sweet wine full of dried fruits balanced acidity and a soft smooth texture it is a generous very accessible wine 
1341,made from a series of small parcels this fruity wine shows the fresh side of malbec with its gushing purple color and ripe black plum juice flavors it s designed to drink young try it from 2016 
1342,a barrel selection from multiple vineyard sources this offers black cherry fruit highlighted by root beer and black licorice aging nine months in 25 new barrels adds pleasant toastiness to the finish 
1343,bordeaux blends show promise in this region this combination of 50 cabernet sauvignon 37 5 merlot and 12 5 cabernet franc reveals rustic leathery aromas of crushed italian herbs dried red cherries and fresh dill once sipped flavors of fresh ground coffee oregano and bay leaf spice a base of cranberry fruit 
1344,there s a respectably complex nose on this pink wine with lemonade and pressed plums blending into a wet cement minerality the palate is very tasty with flavors of pomegranate dried rose petals hibiscus night jasmine and even a clove laced mocha element proving quite intriguing 
1345,almost equal parts merlot and cabernet sauvignon with slightly more merlot this is a reduced and approachable wine it s slightly syrupy thick on the palate juicy in clove plum and blueberry a trace of minerality fights for attention around a medium body finishing fairly quick 
1346,rose petals violets red cherries plums rhubarb and heavily peppered spices dominate the nose of this tasty wine from a little known appellation 27 miles inland from monterey bay it s softly textured upon sipping then acidity shows up and holds through the sip along with a stemmy tension fresh flavors include sour cherries and red berries 
1347,the grapes for this wine from regional pioneer gary eberle are nearly equally sourced from three vineyards steinbeck wine bush and cocavin the nose is herbal with sagebrush oregano and thyme offering just a bit of black plum fruit the palate is also full of crushed dried herbs proving a touch sour and tarry with cooked strawberry and dried raspberry fruit 
1348,sourced from vines planted in the 1980s this tart and steely wine mixes lemongrass and citrus flavors with hints of riper peach it finishes with suggestions of fresh brewed tea 
1349,lean aromas of bell pepper and green fruits are not overly intense this is linear juicy and tight in frame flavors of lime scallion caper and dry cider finish racy and scouring good mouthfeel is a plus 
1350,there is nothing bashful about this wine it s big bold and structured it holds the potential of great fruitiness as well a solid core that is surrounded by ripe black berries just a touch of chocolate and wood drink from 2017 
1351,intensely aromatic in spicy black cherry and earthy leather the devious primitivo is more structured than some of macchia s zinfandels more savory than sweet with tannic grip smooth and velvety it ll impress alongside salumi and other charcuterie 
1352,it opens with fragrances of stone fruit granny smith apple and white almonds the succulent palate delivers juicy pear white peach nutmeg white almond and mineral alongside crisp acidity it s nicely balanced with great length and finesse 
1353,made from grapes grown in one of the best vineyards in the valley this syrah is a particular success given the challenging vintage it s tannic bone dry and zesty in acidity with deeply extracted blackberry black currant charred meat bone and black pepper flavors the long rich finish suggests aging hold until 2017 
1354,smoke accents ripe yellow peaches on the nose of this intensely penetrating kabinett the palate shocks with luscious mango and melon flavors layered with bristling mineral accents it finishes long with a reverberating astringency 
1355,rich and complex it unfolds with aromas of graphite barrel smoke cured meat and berry fruits that settle on a smooth palate with layering and plush tannins bright flavors of blackberry chocolate and cappuccino finish lightly herbal with a tobacco note and zero heaviness drink through 2018 
1356,this compelling blend of viognier marsanne and roussanne aged for three months in 20 new french oak brings notes of barrel spices apricot and pear there s a touch of sweetness to the full bodied textured fruit flavors that provides a perfect counterbalance to the sharply defined lingering finish 
1357,initially this wine is smooth and creamy textured as it opens up it shows a cool crisp character with white apple fruits and layers of spice from wood aging it s an elegant wine very balanced already but likely to age for several years drink now and until 2020 
1358,rich and full in the mouth this is a wine with structure tight minera ltexture and beautifully juicy fruit the acidity is a strong part of this wine giving a citrus tang to go over the wood aging drink from 2016 
1359,there s nothing shy about this zin which showcases both the variety s personality and the wine s terroir the raspberry licorice and espresso flavors have a sweet edge of brown sugar the finish is entirely dry but hot but that s part of dry creek s charm and suggests pairing with rich spicy smoky meats 
1360,an intense and fresh wine that is packed with acidity as well as powerful red fruits it is breathtakingly fruity at this stage the structure still developing and giving a delicious perfumed berry character drink from 2015 
1361,lots of purity with acidity and stony minerality providing earthy balance to the lemon lime and mango fruit flavors thoroughly dry it s a classy wine to drink now 
1362,this beautiful pinot noir is a blend of various vineyards throughout the appellation it shows classic coastal acidity dryness and silkiness with appealing raspberry red licorice cola and pomegranate flavors wrapped into finely ground tannins decant and drink now 
1363,the cool 2011 vintage has kept this bottling from being as ripe as previous wines from this producer it s certainly leaner but for all that it s dry silky and elegantly complex in its own way with dried raspberry tea and white pepper flavors it could surprise after 2017 
1364,the second wine of ch teau cheval blanc is packed with wood flavors and spice a toasty wine it also has solid tannins plus fragrant fruitiness already the fruit is coming through strongly and it is for medium term aging drink from 2017 
1365,made from viognier grown in the gaillac region this is a rich wine with tropical and yellow fruit flavors the wood aging shows gently through the fresh fruit and attractive acidity the wine is ready to drink but will improve until 2018 
1366,this full throated wine has layers of black fruits firm tannins and a dense texture it is rich the black plum fruits partnered by dark chocolate and licorice wood aging still shows and the wine needs to broaden out even more as it ages drink from 2018 
1367,this marks the first vintage of this moulis estate under the ownership of the barton family of l oville barton already the wine is showing breeding and an understated structure and richness lightly perfumed full of black fruits and integrated tannins it should age well drink from 2017 
1368,syrah dominates the blend on this dry complex red wine it brings tannins and deep flavors of blackberries and charred meat one third of grenache adds lightness and cherries while oak contributes the perfect note of toast the alcohol is high but it never feels hot just mouth filling and warming it s a polished and complex wine that brings to mind a perfect steak 
1369,tannins give a dark mineral structure the black fruits slowly coming through are still part of this serious purpose with wood flavors and dry fruits prominent it still needs aging so don t drink before 2016 
1370,because strong toast aromas show through this wine its attractive full fruit will need time to come through the wine with its firm almost red wine structure needs to age until 2016 before drinking 
1371,this is a powerful rich blend of merlot and cabernet sauvignon it has structure dark tannins complex red berry fruits and just the right amount of wood aging with its solid structured foundation that is partnered with the ripe fruits it s going to age well drink from 2016 
1372,this apricot and honey flavored wine is both rich and fresh the balance between the sweetness the botrytis and the acidity is just right it will go well with blue cheese or p t drink from 2015 
1373,bone dry this succulent citrus soaked riesling is a textural marvel mixing grapefruit lime and pear fruit flavors its racy acidity underscores its complexity 
1374,named after a 17th century nun who lived nearby this wine packs impressive power and concentration a great weight of solid tannins are paired with luscious red fruits its density dry core and layers of fruit and acidity promise good aging drink from 2017 
1375,this wine is made in the style of the winery s marvelous finch hollow chardonnays but is just a little less concentrated dry crisp and elegantly clean it has complex mineral infused flavors of tangerines peaches and limes enhanced with lots of smoky new oak it should hold in the bottle through 2016 
1376,showing richness this wine is smooth and well balanced between ripe red berry fruits and generous tannins the wood aging shows in a slight burnt edge but this will pass as the wine develops drink from 2016 
1377,this rich youthful wine is another example of lugana that is aging gracefully and has more to give it opens with aromas of citrus dried apricots and flint that carry over to the palate together with lemon drop grapefruit and pear plus fresh acidity a mineral note marks the start of the long finish drink now through 2018 
1378,some wood aging has rounded out this fruity wine but it has not radically changed its inherent fresh crisp character it shows apples lemon and lime juice and just a touch of spice from wood the wine is ready to drink but will be best if left until 2015 
1379,still firmly tannic this wine is densely structured and shows good potential it has dark tannins and rich berry fruits followed by a more juicy aftertaste with power and style combining well it should be aged drink from 2017 
1380,with a licorice chemise and cherry laden nose reminiscent of a hillside hike through the chaparral in the morning dew this wine is rather tannic on entry tending toward chamomile tea with cranberry fruit with a strong tannic backbone it could drink well for awhile 
1381,raw lightly leafy red berry aromas properly announce what amounts to a juicy snappy tempranillo with berry spice and dry oak flavors a dry feeling peppery tasting finish is traditional for good basic spanish table wine 
1382,all stainless fermented this seems to show some residual sugar perhaps in order to round out the austere acidity lemon and tangerine fruit all with plenty of acid are annotated with highlights of fresh cilantro it would be a fine match for simple white fish 
1383,candied red berry aromas are pasty at first with a twinge of green in the mouth this is wiry and jammy feeling with juicy acids herbal slightly green flavors of olive toast and berry fruits finish minty and a bit hot 
1384,tight nervy and mineral this crisp and fruity wine needs a few months to develop fully it s lively with citrus fruits an herbaceous character and steely aftertaste 
1385,blackberry liqueur violet cola and slight dustiness form the nose of this well priced wine the flavors are a bit thinner than expected most reminiscent of ripe pomegranate 
1386,pretty aromas suggest plum red berry leather graphite and eucalyptus the understated palate isn t as expressive as the nose but reveals subdued black cherry black pepper espresso and oak astringent tannins still need to integrate but for now leave the mouth feeling dried out drink after 2020 
1387,the red pony brand is putting out reliably distinct wines this one smells of cranberry oregano and barnyard the tannins and acidity are solid with strawberry and pomegranate flavors leading to an earthy finish hold until 2016 for an even smoother time 
1388,this opens with aromas of toasted oak espresso and a hint of tire rubber the palate displays sweet black cherry extract layered with milk chocolate coffee and oak alongside bracing tannins and racy acidity drink after 2018 
1389,the lightest wine in the winery s well crafted lineup this marries grapefruity acidity to tart cherry fruit it s nicely balanced airy and a pleasure to drink 
1390,this tight young wine is shot through with steely acidity and minerality it tastes of the flinty soil of pouilly full in the mouth and concentrated give it until 2015 before drinking 
1391,crafted entirely from estate grown fruit this tart citrus flavored ros is anchored in rhubarb and strawberry flavors it offers medium concentration and length with a subtle suggestion of cola woven into the finish 
1392,raspberry and plum aromas start with a resiny oak covering that turns foresty and briary with airing this is raisiny and ripe in feel with a complex mix of berry fennel and anise flavors a lush dense feeling finish is minty and herbal 
1393,this tastes of warmer russian river valley climes darker and riper in black cherry and berry fruit character with a layering of toasty cinnamon and oak the aroma tends to the earthy pastoral 
1394,as is often the case with oregon s 2011 pinots this remains stubbornly tight and shows herbal and stem flavors rather than pretty fruit that said it also displays the excellent structure of the better wines from the vintage underpinnings of acid and tannin plus the still sharp edged pomegranate fruit may carry it up to 2024 
1395,this comes from estate grown fruit in the chehalem mountains ava spicy and sharp toned it brings tart acidity and highlights of orange peel to flavors of wild mountain berries the tannins are still a bit rough but should smooth out with more bottle age 
1396,it s the hard granite rock of the vineyards that gives this wine its tight firm texture it is very crisp structured with tense acidity and strong lemon lime flavors the wine with its intense freshness is very much made to partner food 
1397,a new label for macmurray ranch this pinot gris is stony in fresh nectarine pear and mango wrapped in a creamy texture that develops fleshy flavors of fig in the glass the fruit is sourced from both macmurray ranch and gallo s cooler russian river valley outpost two rock near petaluma 
1398,this wine offers a lighter side of petite sirah it conveys more red fruit than brooding black and blue a taste of red licorice and lean balanced red cherries sleekly layered over earthy plum and spice its structure and acidity make it food friendly ready to accent a black pepper steak or similarly seasoned roast 
1399,exotic incense sandalwood and ripe berry aromas waft from the glass of this single vineyard barbaresco the palate is initially closed but slowly reveals crunchy morello cherry toast and espresso alongside assertive tannins drink after 2018 
1400,pure berry aromas define the nose on this highly drinkable garnacha syrah blend in the mouth it s clean juicy a bit round and easy to process typical arag nese flavors of plum and berry finish tasty and unbroken 
1401,this respected bierzo producer s base level menc a is jumpy on the nose with floral berry and plum aromas it feels fresh and bright with ample structure standard berry plum and currant flavors come with notes of spice while the finish is forward and fresh 
1402,floral and pretty in ripe peach and pineapple mango it unwinds with a finish of vanilla 
1403,finished apparently off dry this seems to show some residual sugar in a leesy yeasty style the fruit suggests pears and cotton candy with juicy acidity supporting the sweetness don t look for your standard dry pinot gris but what s here is generous and enjoyable 
1404,this petite sirah led blend offers cherry cedar and smoke with a bit of morel mushroom funk on the nose the palate reveals tobacco plum jam and harder than expected tannins with a slight vanilla finish 
1405,this is a smooth easy drinking and rather light bodied wine not unusual in the tricky vintage of 2011 relatively light in color this offers scents of sweet cherry vanilla and cinnamon while the flavors recall cherry and raspberry the texture is almost delicate but livened up with a good touch of acidity 
1406,varietally specific aromas of wild flowers honey and lemon verbena set up an unctuous creamy palate with modest acidity and lots of weight honey mango vanilla and other sweet tropical flavors finish thick but not quite cloying this is a unique wine for navarra that deserves to be judged on its own 
1407,plum vanilla chocolate and subtle oak aromas carry over to the palate the palate displays chocolate covered cherries fig and coffee alongside bracing tannins that leave a drying finish drink 2018 2025 
1408,this is aggressively tart and herbal but shows good density and concentration flavors of lemon verbena mixed with lime ade run true and full on through an extended focused finish 
1409,pastoral and earthy it s straightforward and tightly woven in tannins with balanced acidity that offers a sense of wild strawberries a well made wine priced attractively stock up for midweek needs 
1410,aromas of citrus white stone fruit and a vegetal hint suggesting tomato leaf lead the way the racy palate offers grapefruit pineapple fresh white peach and flinty mineral while a pleasantly bitter note closes the finish 
1411,fresh fruit flavors suggest a bowl full of berries and cherries crisp acids help to focus the wine with spot on varietal flavors and balance both elegant and complex it s a lovely bottle from an under the radar producer 
1412,this delicate hungarian white wine is a blend of 86 furmint 9 yellow muscat and 5 kabar it has enticing aromas of white flowers botrytis gardenia apple blossom and apricot that prepare your palate for flavors of peach juice citrus zest grapefruit juice caramelized pineapple and a crisp clean finish 
1413,in a classic combination of ripe flavors and lip smacking structure this full bodied wine wraps concentrated black cherry and mint aromas and generous cherry and blackberry flavors in muscular tannins that keep the texture fresh 
1414,tar and beef char kick off the nose on this dark and heavy wine which offers asphalt smoked meats and crushed elderberry caramelized beef balsamic blackberry reduction tobacco and touches of smoke show on the palate 
1415,aromas of pear spanish broom flint and mediterranean herb emerge in the glass the juicy medium bodied palate offers ripe apple peach and lime alongside fresh acidity and a mineral vein a hazelnut note marks the close 
1416,the man who makes a million syrahs dives into a blend of 60 grenache 25 mourv dre and 15 syrah on this bottling which offers composting lilac black pepper fresh boysenberry dried herb and a tarry quality on the nose there s a strong blackberry balsamic reduction flavor once sipped as well as beef char elderberry and more tar 
1417,pineapple and lime peel start the nose of this layered assyrtiko on the palate it unfolds with a combination of lemon peel grapefruit and sea salt this wine can age for several years but is good to drink now pair with lamb fresh fish or asian cuisine 
1418,loads of clove allspice cinnamon and nutmeg spice show up the strawberry blueberry and red cherry aromas of this lavish bottling which also offers scents of crushed rock and turned earth similar elements entertain the palate culminating with a minty pine needle note proving to be a very dynamic sip 
1419,huckleberry and dark cherry mingle around a viscosity of velvety texture and tannin dusted in notions of black tea tar and red currant light in color but bold in flavor this wine speaks to both the cool nature of its vineyard site and to the style of the winemaker 
1420,smooth medium bodied layers of pomegranate red currant and a refreshing sense of citrus make for a light food friendly companion especially with the wine s satisfying bite of acidity and lengthy finish 
1421,the grapes for this full bodied wine hail from the luvisi vineyard in the heart of calistoga old vine country a warm and welcome site for the variety baked blackberry and black olive combine around a taste of charred meat before brawny spins of brown sugar and nutmeg play on the palate with jolts of chocolate and vanilla 
1422,this is a creamy thick and food friendly white with highlights of honey and green apple and a lingering decadence of ginger just hinting at anise medium bodied it represents the vintage and the appellation well at a price that s nice 
1423,a majority of grenache and tiny bit of mourv dre from kick ranch and mcgah vineyard were racked to concrete egg for fermentation with the intent of preserving freshness successful in that quest this orange pink wine is dry tangy and well integrated in terms of acidity subtle in cranberry dried cherry and orange with a light refreshing finish 
1424,the slightest notes of angelica and kiwi fruit lend perfume to a slender almost weightless body this slinky sylvaner runs rings around you intriguing with its weightless charm it s dry lithe and refreshing 
1425,aromas of mature dark skinned berry fennel toast and baking spice come together in the glass the taut focused palate shows ripe black cherry red raspberry mineral and licorice while fresh acidity and firm tannins provide balance drink 2019 through 2024 
1426,spicy and lightly peppery this fresh ros brings concentrated strawberry fruit into focus made from organically grown grapes it expands into a full bodied finish with a lick of milk chocolate 
1427,a fresh green floral touch persists throughout this refreshing dry silvaner light footed in style it offers crisp green plum flavor accented by zippy flashes of lime and lemon zest the finish is invigorating and brisk 
1428,here is the most engaging offering of the winery s 2013 single vineyard pinots it s bright with red berry fruit and tropical candy highlights meyer lemon peeks in and the tangy fruit flavors continue into a finish of medium weight and length drink now and over the next couple of years 
1429,grated lime zest on the nose leads to an uncompromisingly but refreshingly brisk palate this has freshness and a stony almost chalky depth and wonderful concentration and freshness it s dry brisk and invigorating 
1430,a bit stiff this expresses its terroir with accents of earth and clay around muted red fruits streaks of sassafras coconut and vanilla emerge as the wine breathes open decant this one for at least an hour or two 
1431,this is a real tongue stainer earthy and packed with purple fruits flavors of blueberries plums bitter chocolate and charred wood abound the wine remains lively with ample acidity and smooth though dense tannins 
1432,this well made wine blends in a hearty 17 petite sirah providing additional power and dusty berry flavor sultry and velvety on the palate it s spicy and peppery in subtle measure with a juicy cheeriness on the lengthy finish 
1433,a new offering made entirely from estate fruit this is a selection of the best blocks and barrels of the vintage with its core component being 90 howell mountain cabernet sauvignon the remainder is zinfandel together they provide black color and a whiff of bay leaf and peppercorn around well integrated layers of black cherry vanilla and black tea 
1434,peppery leather opens up this wine blended with 5 mourv dre more savory than fruity it pleases in big tannin weight and length with an intensity of brambly wildness and a sagey smoky edge 
1435,typical for this winery this smells a bit herbal with tomato and earthy plum aromas leading the way scratchy grabby tannins support savory herbal berry flavors hard tannins struggle to resolve themselves on a firm muscular finish 
1436,this is a ripe earthy modern leaning rioja with aromas of blackberry raisin and rubber soft and fleshy on the palate what this easygoing number lacks in structure is made up for in charm ultraripe flavors of plum and berry come with a chocolaty accent while the finish is smooth and tastes earthy and spicy drink through 2019 
1437,brilliant pure fruit flavors light up this full bodied but easy to drink wine cherry strawberry and something deeper like black currant dance through the aromas and coat the tongue with their richness the texture is smooth and plush due to fine tannins and mild acidity 
1438,dark shades of bramble and smoked nuts lend a shadowy mystique to this unusual schwartzriesling otherwise known as pinot meunier full bodied yet elegant the palate boasts tart blackberry and raspberry flavors framed in finely grained tannins a rare chance to experience this grape as a single varietal wine 
1439,earthy berry and raisin aromas announce a warm ripe wine this feels plump grapy and chunky with moderate acidity grapy bold flavors of raspberry prune and cherry are earthy and loamy while ripeness and a raisiny element carry onto the finish drink through 2019 
1440,a blend of 60 syrah 30 cabernet sauvignon and 10 merlot this inky garnet colored wine offers aromas of cassis and elderberry on the palate there is a combination of cooked fruit and cool spice flavors yet there is no lack of accompanying acidity flavors of cassis elderberry anise orange peel and vanilla are backed by silky tannins that stay smooth into the cooling finish 
1441,scorched earth cured meat toasted nut and grilled herb aromas lead the nose on this full bodied red the warm ripe palate doles out raspberry jam mature black cherry vanilla and star anise framed in firm velvety tannins 
1442,the aromas of herbs pencil lead and blue and red fruit are forward fresh and appealing the flavors follow similarly showing depth and balance uncommon for a wine this price 
1443,the picturesque name of the wine the vineyard where god sits comes from a monopole a walled property in the hills behind beaune wholly owned by the ch teau de santenay ripe and smooth with an attractive crisp texture the wine is ready to drink a touch of toast gives extra interest 
1444,tilled soil forest floor mature black skinned fruit leather and a truffle note come together in the glass the firmly structured palate presents juicy black cherry crushed raspberry cinnamon vanilla and an earthy hint of game while assertive close grained tannins provide support give it a few years for the tannins to relax then enjoy drink 2019 2023 
1445,a majority of grenache plays lead here with an accompaniment of 35 syrah and 12 mourvedre concentrated in a grip of leather there s further integration of earth and black fruit that stays bright and vibrant on the palate a medium bodied coming together of savory with ripe 
1446,produced from 25 year old vines this is a fresh as well as ripe wine well balanced between herbal flavors and white and citrus fruitiness it has a rounded texture that is juicy as well as full in the mouth the wine is ready to drink 
1447,complexities of mushroom caramel and brioche lend a haze of maturity over delicate strawberry and cherry notes in this champagne style sparkling which was aged for eight years over lees tiny persistent bubbles spread seamlessly on the palate accentuated by streaks of racy acidity 
1448,always an eye opening bottling this blends 50 sangiovese with 50 syrah this vintage shows cooked blackberries baked plums balsamic vinaigrette and black rocks on the nose the palate is juicy and energetic blending dark fruit with bright acidity coffee and caramel flavors with strong tannins for structure 
1449,buy this for its balance and welcome sense of restraint that gives way to richness on the finish crisp apple and light citrus aromas then nicely concentrated and similar flavors put an attractive spin on this medium bodied fresh and appealing wine 
1450,what baumard describes as a secret blend from its vineyards this wine is both sweet and fresh honey and intense acidity are filled out with baked apple and lemon marmalade flavors it is ready to drink in all its fresh glory 
1451,guigal does a terrific job with its regional wines and this ros is no exception notes of crushed stone and underripe pineapple broaden out into red berries and white chocolate on the weighty but balanced palate 
1452,layered aromas and rich but vibrant flavors help this medium bodied wine stand out it has a medium color with a brickish rim while aromas suggest black tea and black cherry a dry tangy but ripe fruit expression on the tongue lingers on the finish 
1453,aromas of earthy nutty mature berry fruits come with a hint of raisin and a touch of compost this saturated vino de c diz is composed of 80 syrah with merlot and cabernet sauvignon it s a heavy wine with flavors of vanilla burnt wood blackened spices and stewed berries the finish tastes peppery dark and outright woody drink through 2019 
1454,this blend from c diz features syrah merlot and cabernet sauvignon it s big ripe and minty on the nose with hints of animal fur and leather a blocky full palate weighs in at 15 5 while flavors of oak and vanilla blend well with spiced berry fruit a drying finish tastes mostly of oak drink through 2025 
1455,from older vines on the producer s estate this wine has a depth of richness to the nose and is intensely powerful in gingerbread and meyer lemon on the medium bodied palate lemony acidity rounds out the finish flecked in butter 
1456,there is much buzz about this new steve and chrystal clifton of palmina and brewer clifton project that finds inspiration for wine from music this orange mauve pink ros is redolent with the familiar pinot components of cherry sagebrush and clove on the palate iron graphite and wild herbs spice up the pomegranate fruit it s very varietally pure 
1457,this is a brawny strongly powerful wine fully displaying the grip of mountain fruit blackberry and black currant complement the tobacco and cedar drink now through 2023 
1458,this 100 varietal wine offers plenty of crisp cranberry currant and restrained red fruit on the palate the texture soft and supple a pleasing shock of dark chocolate appears on the finish 
1459,leather and peppercorn jump from the glass in this soft strong wine powerful in tannin and dusty earth a gravelly rocky component plays on the palate around waves of chocolate and black currant finishing in herb 
